scenario_name,dgp_name,learner_name,n_obs,n_covariates,n_folds,mean_fold_ratio,coverage,coverage_gap,absolute_coverage_gap,se_ratio,mae,rmse
sparse_linear_correlated_n1000_p300_k10_random_forest,sparse_linear_correlated,random_forest,1000,300,10,0.3333333333333333,0.0,-0.95,0.95,1.1014928759350655,0.1910405456120836,0.1924824097376742
dense_linear_independent_n250_p300_k10_ols,dense_linear_independent,ols,250,300,10,1.3333333333333337,0.1,-0.85,0.85,0.257297647281483,0.2178363563380084,0.2350303156730907
dense_linear_independent_n250_p50_k10_random_forest,dense_linear_independent,random_forest,250,50,10,0.2222222222222222,0.1,-0.85,0.85,1.6400472369506989,0.1732634730295331,0.1772001494333221
dense_linear_independent_n250_p100_k2_random_forest,dense_linear_independent,random_forest,250,100,2,0.8,0.1,-0.85,0.85,0.7914032936855238,0.2272051536876155,0.2392288506253115
dense_linear_independent_n250_p100_k10_random_forest,dense_linear_independent,random_forest,250,100,10,0.4444444444444445,0.1,-0.85,0.85,0.9459870668616632,0.2220376814650461,0.2317677421576467
dense_linear_independent_n250_p300_k10_random_forest,dense_linear_independent,random_forest,250,300,10,1.3333333333333337,0.1,-0.85,0.85,1.3376142383074363,0.2137599105125765,0.218508322807966
dense_linear_independent_n1000_p25_k2_random_forest,dense_linear_independent,random_forest,1000,25,2,0.05,0.1,-0.85,0.85,2.09332339539816,0.0829707506411673,0.0842852725717799
dense_linear_independent_n1000_p300_k2_gradient_boosting,dense_linear_independent,gradient_boosting,1000,300,2,0.5999999999999999,0.1,-0.85,0.85,1.3019470628207932,0.0919839368798239,0.0951918495194372
sparse_linear_independent_n250_p50_k2_random_forest,sparse_linear_independent,random_forest,250,50,2,0.4,0.1,-0.85,0.85,1.4007949588297972,0.1908992606851804,0.1953462817955624
sparse_linear_independent_n250_p150_k2_random_forest,sparse_linear_independent,random_forest,250,150,2,1.1999999999999995,0.1,-0.85,0.85,1.0564203761068007,0.1940156856953143,0.2020766871263619
sparse_linear_independent_n250_p150_k10_random_forest,sparse_linear_independent,random_forest,250,150,10,0.6666666666666667,0.1,-0.85,0.85,1.1521972884507847,0.2020710248075825,0.2084626611604501
sparse_linear_independent_n500_p50_k2_random_forest,sparse_linear_independent,random_forest,500,50,2,0.2,0.1,-0.85,0.85,0.8961989492281003,0.1721059719103816,0.1789269001024848
sparse_linear_independent_n1000_p100_k2_gradient_boosting,sparse_linear_independent,gradient_boosting,1000,100,2,0.2,0.1,-0.85,0.85,1.0336399038972814,0.0925441146061025,0.0974176357078153
sparse_linear_independent_n1000_p300_k10_gradient_boosting,sparse_linear_independent,gradient_boosting,1000,300,10,0.3333333333333333,0.1,-0.85,0.85,1.8730641428371624,0.0786138710736491,0.080274391522632
sparse_linear_correlated_n250_p150_k5_random_forest,sparse_linear_correlated,random_forest,250,150,5,0.75,0.1,-0.85,0.85,0.8980334525272512,0.2019469518443578,0.2091116150282933
sparse_linear_correlated_n1000_p25_k2_random_forest,sparse_linear_correlated,random_forest,1000,25,2,0.05,0.1,-0.85,0.85,0.8334414026677394,0.0906994413051509,0.0973702338806694
dense_linear_independent_n250_p25_k2_random_forest,dense_linear_independent,random_forest,250,25,2,0.2,0.2,-0.75,0.75,1.1683063540592835,0.1775138580662555,0.1858198884868946
dense_linear_independent_n250_p50_k5_random_forest,dense_linear_independent,random_forest,250,50,5,0.25,0.2,-0.75,0.75,1.2068601439961053,0.1784126099064701,0.185250593365589
dense_linear_independent_n250_p150_k2_random_forest,dense_linear_independent,random_forest,250,150,2,1.1999999999999995,0.2,-0.75,0.75,0.6987074655143396,0.2325069697666185,0.2494011359371264
dense_linear_independent_n250_p150_k5_random_forest,dense_linear_independent,random_forest,250,150,5,0.75,0.2,-0.75,0.75,0.7843612345197759,0.2127117517445001,0.2261712972711622
dense_linear_independent_n500_p50_k5_random_forest,dense_linear_independent,random_forest,500,50,5,0.125,0.2,-0.75,0.75,0.8068195707648699,0.1369466927202717,0.1471193366498733
sparse_linear_independent_n250_p50_k5_random_forest,sparse_linear_independent,random_forest,250,50,5,0.25,0.2,-0.75,0.75,1.3708200931818355,0.1921438168194761,0.1980261775586091
sparse_linear_independent_n250_p300_k5_random_forest,sparse_linear_independent,random_forest,250,300,5,1.5,0.2,-0.75,0.75,0.9660348424833312,0.2319694967298914,0.2402640066160778
sparse_linear_independent_n1000_p25_k10_random_forest,sparse_linear_independent,random_forest,1000,25,10,0.0277777777777777,0.2,-0.75,0.75,0.9647700281966868,0.0673150329311962,0.0748843728254989
sparse_linear_correlated_n250_p25_k5_random_forest,sparse_linear_correlated,random_forest,250,25,5,0.125,0.2,-0.75,0.75,0.9632875047265438,0.1427813435516415,0.1530328926562962
sparse_linear_correlated_n250_p50_k5_random_forest,sparse_linear_correlated,random_forest,250,50,5,0.25,0.2,-0.75,0.75,1.7735225604542997,0.1495174872433687,0.1526631047909042
sparse_linear_correlated_n250_p50_k10_random_forest,sparse_linear_correlated,random_forest,250,50,10,0.2222222222222222,0.2,-0.75,0.75,1.1877670400817346,0.1525103411125963,0.1587013996141653
sparse_linear_correlated_n500_p25_k10_random_forest,sparse_linear_correlated,random_forest,500,25,10,0.0555555555555554,0.2,-0.75,0.75,1.235934382747767,0.1083646125755507,0.1135745541341242
dense_linear_independent_n250_p300_k2_ols,dense_linear_independent,ols,250,300,2,2.3999999999999995,0.3,-0.6499999999999999,0.6499999999999999,0.7446461141513327,0.1177038467374642,0.1361768693410182
dense_linear_independent_n250_p300_k2_lasso,dense_linear_independent,lasso,250,300,2,2.3999999999999995,0.3,-0.6499999999999999,0.6499999999999999,0.5970736832682305,0.2078045355801188,0.2322757189895442
dense_linear_independent_n250_p25_k10_random_forest,dense_linear_independent,random_forest,250,25,10,0.1111111111111111,0.3,-0.6499999999999999,0.6499999999999999,1.0982484629704867,0.1430689296958085,0.1536222793017431
dense_linear_independent_n250_p50_k2_random_forest,dense_linear_independent,random_forest,250,50,2,0.4,0.3,-0.6499999999999999,0.6499999999999999,0.9681494264191256,0.1809291502689642,0.1907481885895911
dense_linear_independent_n500_p25_k2_random_forest,dense_linear_independent,random_forest,500,25,2,0.1,0.3,-0.6499999999999999,0.6499999999999999,1.008325718332002,0.1220025961202631,0.1294580788562825
dense_linear_independent_n1000_p50_k5_gradient_boosting,dense_linear_independent,gradient_boosting,1000,50,5,0.0625,0.3,-0.6499999999999999,0.6499999999999999,0.952548181684674,0.0714791000625946,0.0784488572969858
dense_linear_independent_n1000_p100_k2_gradient_boosting,dense_linear_independent,gradient_boosting,1000,100,2,0.2,0.3,-0.6499999999999999,0.6499999999999999,0.9765088119667034,0.0754216187110952,0.0818018357249672
sparse_linear_independent_n500_p150_k5_ols,sparse_linear_independent,ols,500,150,5,0.375,0.3,-0.6499999999999999,0.6499999999999999,0.4161362290048777,0.085728077561888,0.0983231214164234
sparse_linear_independent_n250_p25_k2_random_forest,sparse_linear_independent,random_forest,250,25,2,0.2,0.3,-0.6499999999999999,0.6499999999999999,1.046176974669978,0.1716715452800497,0.1805653653645559
sparse_linear_independent_n500_p25_k5_random_forest,sparse_linear_independent,random_forest,500,25,5,0.0625,0.3,-0.6499999999999999,0.6499999999999999,0.9692465180212948,0.0948620388856749,0.1049226342174387
sparse_linear_independent_n1000_p300_k2_gradient_boosting,sparse_linear_independent,gradient_boosting,1000,300,2,0.5999999999999999,0.3,-0.6499999999999999,0.6499999999999999,0.8611972121189011,0.0915588044862928,0.0983568096550389
sparse_linear_independent_n1000_p300_k5_gradient_boosting,sparse_linear_independent,gradient_boosting,1000,300,5,0.375,0.3,-0.6499999999999999,0.6499999999999999,1.1541352036122785,0.0795178669046352,0.0840062690583741
sparse_linear_correlated_n250_p25_k2_random_forest,sparse_linear_correlated,random_forest,250,25,2,0.2,0.3,-0.6499999999999999,0.6499999999999999,1.180876647357735,0.1625468498175425,0.1698659479449521
sparse_linear_correlated_n1000_p25_k10_random_forest,sparse_linear_correlated,random_forest,1000,25,10,0.0277777777777777,0.3,-0.6499999999999999,0.6499999999999999,1.1953450136830843,0.0808683792460883,0.0847821670381546
dense_linear_independent_n250_p100_k2_ols,dense_linear_independent,ols,250,100,2,0.8,0.4,-0.5499999999999999,0.5499999999999999,0.4830660722320583,0.1129064915835822,0.1249847040267223
dense_linear_independent_n500_p300_k2_ols,dense_linear_independent,ols,500,300,2,1.1999999999999995,0.4,-0.5499999999999999,0.5499999999999999,0.5549448148941144,0.0807836834765067,0.0873513911830345
dense_linear_independent_n1000_p300_k2_ols,dense_linear_independent,ols,1000,300,2,0.5999999999999999,0.4,-0.5499999999999999,0.5499999999999999,0.3841378907320727,0.0626490495240089,0.0764020447351019
dense_linear_independent_n250_p300_k10_lasso,dense_linear_independent,lasso,250,300,10,1.3333333333333337,0.4,-0.5499999999999999,0.5499999999999999,0.4131993165140656,0.1580992670344549,0.1705008422327453
dense_linear_independent_n500_p25_k5_random_forest,dense_linear_independent,random_forest,500,25,5,0.0625,0.4,-0.5499999999999999,0.5499999999999999,1.0041202150421855,0.1017337361051398,0.1105640013274308
dense_linear_independent_n1000_p25_k5_random_forest,dense_linear_independent,random_forest,1000,25,5,0.03125,0.4,-0.5499999999999999,0.5499999999999999,0.8027405690420373,0.0761015693545314,0.0852582050527757
dense_linear_independent_n500_p50_k2_gradient_boosting,dense_linear_independent,gradient_boosting,500,50,2,0.2,0.4,-0.5499999999999999,0.5499999999999999,0.7002702433547899,0.1003235118848069,0.1191092451340841
dense_linear_independent_n500_p300_k5_gradient_boosting,dense_linear_independent,gradient_boosting,500,300,5,0.75,0.4,-0.5499999999999999,0.5499999999999999,0.7991302286063724,0.0925576697240385,0.1082394566314997
dense_linear_independent_n500_p300_k10_gradient_boosting,dense_linear_independent,gradient_boosting,500,300,10,0.6666666666666667,0.4,-0.5499999999999999,0.5499999999999999,0.8697740135538242,0.1064596451394935,0.1180003799267046
dense_linear_independent_n1000_p300_k10_gradient_boosting,dense_linear_independent,gradient_boosting,1000,300,10,0.3333333333333333,0.4,-0.5499999999999999,0.5499999999999999,1.188885700675249,0.0730699641766013,0.0777165240128076
sparse_linear_independent_n250_p150_k2_ols,sparse_linear_independent,ols,250,150,2,1.1999999999999995,0.4,-0.5499999999999999,0.5499999999999999,0.4988221470474231,0.1419132367720938,0.1659729143121317
sparse_linear_independent_n250_p150_k5_ols,sparse_linear_independent,ols,250,150,5,0.75,0.4,-0.5499999999999999,0.5499999999999999,0.3382723242822638,0.1565613873827507,0.1783636587722562
sparse_linear_independent_n250_p300_k2_ols,sparse_linear_independent,ols,250,300,2,2.3999999999999995,0.4,-0.5499999999999999,0.5499999999999999,1.2218593268335862,0.1366855337723993,0.144768859377198
